Date : 4/17/2015 Time    :  11:37 AM  Second : 0     milisecond  :  389====>>>>>>>  Token1  : 66440, OrderNumber1 : 113724369, BuySell1 : 2, PriceDiff : 0, Price1 : 8735, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4655, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:47 AM  Second : 0     milisecond  :  198====>>>>>>>  Token1  : 66440, OrderNumber1 : 114724196, BuySell1 : 1, PriceDiff : 0, Price1 : 8605, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4575, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:47 AM  Second : 2     milisecond  :  222====>>>>>>>  Token1  : 66440, OrderNumber1 : 114724305, BuySell1 : 2, PriceDiff : 0, Price1 : 8575, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4595, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:50 AM  Second : 20     milisecond  :  748====>>>>>>>  Token1  : 66440, OrderNumber1 : 115044753, BuySell1 : 1, PriceDiff : 0, Price1 : 8420, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4470, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:50 AM  Second : 23     milisecond  :  356====>>>>>>>  Token1  : 66440, OrderNumber1 : 115044833, BuySell1 : 2, PriceDiff : 0, Price1 : 8390, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4490, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:52 AM  Second : 50     milisecond  :  482====>>>>>>>  Token1  : 66440, OrderNumber1 : 115314486, BuySell1 : 1, PriceDiff : 0, Price1 : 8610, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4585, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:53 AM  Second : 15     milisecond  :  372====>>>>>>>  Token1  : 66440, OrderNumber1 : 115314587, BuySell1 : 2, PriceDiff : 0, Price1 : 8575, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4595, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:56 AM  Second : 48     milisecond  :  542====>>>>>>>  Token1  : 66440, OrderNumber1 : 115712524, BuySell1 : 1, PriceDiff : 0, Price1 : 8520, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4540, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:57 AM  Second : 15     milisecond  :  838====>>>>>>>  Token1  : 66440, OrderNumber1 : 115712645, BuySell1 : 2, PriceDiff : 0, Price1 : 8500, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4555, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:04 PM  Second : 15     milisecond  :  52====>>>>>>>  Token1  : 66440, OrderNumber1 : 120437838, BuySell1 : 1, PriceDiff : 0, Price1 : 8635, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4600, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:04 PM  Second : 46     milisecond  :  185====>>>>>>>  Token1  : 66440, OrderNumber1 : 120437942, BuySell1 : 2, PriceDiff : 0, Price1 : 8600, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4610, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:06 PM  Second : 43     milisecond  :  625====>>>>>>>  Token1  : 66440, OrderNumber1 : 120706405, BuySell1 : 1, PriceDiff : 0, Price1 : 8700, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4645, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:06 PM  Second : 51     milisecond  :  111====>>>>>>>  Token1  : 66440, OrderNumber1 : 120706484, BuySell1 : 2, PriceDiff : 0, Price1 : 8670, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4655, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:07 PM  Second : 39     milisecond  :  472====>>>>>>>  Token1  : 66440, OrderNumber1 : 120802279, BuySell1 : 2, PriceDiff : 0, Price1 : 8675, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4670, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:07 PM  Second : 54     milisecond  :  377====>>>>>>>  Token1  : 66440, OrderNumber1 : 120817184, BuySell1 : 2, PriceDiff : 0, Price1 : 8660, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4650, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:11 PM  Second : 11     milisecond  :  35====>>>>>>>  Token1  : 66440, OrderNumber1 : 121133814, BuySell1 : 2, PriceDiff : 0, Price1 : 8530, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4585, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:11 PM  Second : 16     milisecond  :  648====>>>>>>>  Token1  : 66440, OrderNumber1 : 121139463, BuySell1 : 2, PriceDiff : 0, Price1 : 8510, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4560, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:15 PM  Second : 14     milisecond  :  408====>>>>>>>  Token1  : 66440, OrderNumber1 : 121537165, BuySell1 : 2, PriceDiff : 0, Price1 : 8505, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4535, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:21 PM  Second : 54     milisecond  :  849====>>>>>>>  Token1  : 66440, OrderNumber1 : 122217648, BuySell1 : 2, PriceDiff : 0, Price1 : 8595, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4580, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:22 PM  Second : 15     milisecond  :  263====>>>>>>>  Token1  : 66440, OrderNumber1 : 122238062, BuySell1 : 2, PriceDiff : 0, Price1 : 8555, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4570, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:23 PM  Second : 3     milisecond  :  91====>>>>>>>  Token1  : 66440, OrderNumber1 : 122325872, BuySell1 : 1, PriceDiff : 0, Price1 : 8600, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4565, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:23 PM  Second : 12     milisecond  :  595====>>>>>>>  Token1  : 66440, OrderNumber1 : 122335396, BuySell1 : 1, PriceDiff : 0, Price1 : 8590, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4570, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:24 PM  Second : 31     milisecond  :  321====>>>>>>>  Token1  : 66440, OrderNumber1 : 122454112, BuySell1 : 1, PriceDiff : 0, Price1 : 8600, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4575, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:24 PM  Second : 31     milisecond  :  537====>>>>>>>  Token1  : 66440, OrderNumber1 : 122454182, BuySell1 : 2, PriceDiff : 0, Price1 : 8570, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4585, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:25 PM  Second : 2     milisecond  :  210====>>>>>>>  Token1  : 66440, OrderNumber1 : 122525018, BuySell1 : 2, PriceDiff : 0, Price1 : 8535, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4570, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:25 PM  Second : 10     milisecond  :  429====>>>>>>>  Token1  : 66440, OrderNumber1 : 122533236, BuySell1 : 1, PriceDiff : 0, Price1 : 8570, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4560, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:28 PM  Second : 13     milisecond  :  697====>>>>>>>  Token1  : 66440, OrderNumber1 : 122836497, BuySell1 : 1, PriceDiff : 0, Price1 : 8465, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4480, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:28 PM  Second : 13     milisecond  :  929====>>>>>>>  Token1  : 66440, OrderNumber1 : 122836560, BuySell1 : 2, PriceDiff : 0, Price1 : 8435, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4505, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:29 PM  Second : 31     milisecond  :  304====>>>>>>>  Token1  : 66440, OrderNumber1 : 122954102, BuySell1 : 2, PriceDiff : 0, Price1 : 8340, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4440, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:33 PM  Second : 25     milisecond  :  929====>>>>>>>  Token1  : 66440, OrderNumber1 : 123348737, BuySell1 : 1, PriceDiff : 0, Price1 : 8090, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4255, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  12:33 PM  Second : 26     milisecond  :  110====>>>>>>>  Token1  : 66440, OrderNumber1 : 123348810, BuySell1 : 2, PriceDiff : 0, Price1 : 8080, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4270, TriggerPrice2 : 0, TotalVolRemaining2 : 75
